testfall_id,stufe,workflow,score_strukturell,score_semantisch,score_gesamt,syntax_gate,fk_gate,pk_rate,pk_tabellen_gesamt,pk_tabellen_mit_pk,fk_referenzen_gesamt,fk_referenzen_ungueltig,entitaet_precision,entitaet_recall,entitaet_f1,entitaet_matched,entitaet_nur_in_referenz,entitaet_nur_in_generiert,attribut_precision,attribut_recall,attribut_f1,attribut_matched,attribut_nur_in_referenz,attribut_nur_in_generiert,beziehung_recall,beziehung_matched,beziehung_nur_in_referenz,beziehung_nur_in_generiert,abweichungen_total,input_tokens,output_tokens,total_tokens,llm_calls,error
TC024,1,oa,1.0,0.7280701754385965,0.8368421052631579,1,1,1.0,4,4,3,0,0.75,0.75,0.75,3,1,1,0.7368421052631579,0.7368421052631579,0.7368421052631579,14,5,5,0.6666666666666666,2,1,0,7,12812,3799,16611,4,
TC024,1,mad,1.0,0.7144144144144144,0.8286486486486486,1,1,1.0,4,4,3,0,0.75,0.75,0.75,3,1,1,0.7222222222222222,0.6842105263157895,0.7027027027027027,13,6,5,0.6666666666666666,2,1,0,8,29497,7025,36522,8,
TC025,1,sa,1.0,0.9529411764705882,0.9717647058823529,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.8823529411764706,0.8823529411764706,0.8823529411764706,15,2,2,1.0,2,0,0,2,2316,727,3043,1,
TC025,1,ps,1.0,0.9529411764705882,0.9717647058823529,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.8823529411764706,0.8823529411764706,0.8823529411764706,15,2,2,1.0,2,0,0,2,7351,2891,10242,3,
TC025,1,iw,1.0,0.9333333333333333,0.96,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.7894736842105263,0.8823529411764706,0.8333333333333333,15,2,4,1.0,2,0,0,2,20463,5479,25942,6,
TC025,1,oa,1.0,0.9529411764705882,0.9717647058823529,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.8823529411764706,0.8823529411764706,0.8823529411764706,15,2,2,1.0,2,0,0,2,12432,3595,16027,4,
TC025,1,mad,1.0,0.7806949806949808,0.8684169884169884,1,1,1.0,4,4,3,0,0.75,1.0,0.8571428571428571,3,0,1,0.55,0.6470588235294118,0.5945945945945946,11,6,9,1.0,2,0,0,6,30262,7508,37770,8,
TC026,1,sa,1.0,0.9428571428571428,0.9657142857142857,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,18,3,3,1.0,3,0,0,3,2327,923,3250,1,
TC026,1,ps,1.0,0.7190476190476192,0.8314285714285715,1,1,1.0,4,4,3,0,0.75,0.75,0.75,3,1,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,15,6,6,0.6666666666666666,2,1,0,8,7252,2762,10014,3,
TC026,1,iw,1.0,0.9428571428571428,0.9657142857142857,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,18,3,3,1.0,3,0,0,3,5818,1782,7600,2,
TC026,1,oa,1.0,0.7190476190476192,0.8314285714285715,1,1,1.0,4,4,3,0,0.75,0.75,0.75,3,1,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,15,6,6,0.6666666666666666,2,1,0,8,13307,3994,17301,4,
TC026,1,mad,1.0,0.9428571428571428,0.9657142857142857,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,18,3,3,1.0,3,0,0,3,30284,7257,37541,8,
TC027,1,sa,1.0,1.0,1.0,1,1,1.0,4,4,2,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,20,0,0,1.0,2,0,0,0,2284,849,3133,1,
TC027,1,ps,1.0,1.0,1.0,1,1,1.0,4,4,2,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,20,0,0,1.0,2,0,0,0,7159,2937,10096,3,
TC027,1,iw,1.0,0.9191919191919193,0.9515151515151516,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.8333333333333334,1.0,0.9090909090909091,20,0,4,1.0,2,0,0,0,13707,3929,17636,4,
TC027,1,oa,1.0,0.9191919191919193,0.9515151515151516,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.8333333333333334,1.0,0.9090909090909091,20,0,4,1.0,2,0,0,0,30468,9182,39650,8,
TC027,1,mad,1.0,0.9191919191919193,0.9515151515151516,1,1,1.0,5,5,4,0,0.8,1.0,0.888888888888889,4,0,1,0.8333333333333334,1.0,0.9090909090909091,20,0,4,1.0,2,0,0,0,30900,8053,38953,8,
TC028,1,sa,1.0,0.9777777777777779,0.9866666666666667,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1.0,3,0,0,1,2305,837,3142,1,
TC028,1,ps,1.0,1.0,1.0,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,18,0,0,1.0,3,0,0,0,6974,2687,9661,3,
TC028,1,iw,1.0,0.9777777777777779,0.9866666666666667,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1.0,3,0,0,1,5661,1613,7274,2,
